Vertex ID,Vertex Type
PyYAML,Dependency_Pkg
absl-py,Dependency_Pkg
astunparse,Dependency_Pkg
flatbuffers,Dependency_Pkg
gast,Dependency_Pkg
google-pasta,Dependency_Pkg
"graphviz ",Dependency_Pkg
grpcio,Dependency_Pkg
h5py,Dependency_Pkg
jax,Dependency_Pkg
joblib,Dependency_Pkg
keras,Dependency_Pkg
keras-preprocessing,Dependency_Pkg
libclang,Dependency_Pkg
lxml,Dependency_Pkg
matplotlib,Dependency_Pkg
msgpack,Dependency_Pkg
networkx,Dependency_Pkg
numpy,Dependency_Pkg
opt-einsum,Dependency_Pkg
optax,Dependency_Pkg
packaging,Dependency_Pkg
pandas,Dependency_Pkg
protobuf,Dependency_Pkg
psutil,Dependency_Pkg
requests,Dependency_Pkg
rich,Dependency_Pkg
scikit-learn,Dependency_Pkg
scipy,Dependency_Pkg
setuptools,Dependency_Pkg
six,Dependency_Pkg
tensorboard,Dependency_Pkg
tensorflow,Dependency_Pkg
tensorflow-estimator,Dependency_Pkg
tensorflow-io-gcs-filesystem,Dependency_Pkg
termcolor,Dependency_Pkg
tqdm,Dependency_Pkg
typing-extensions,Dependency_Pkg
wrapt,Dependency_Pkg