package,Dependency
PyTorch,typing-extensions
FastApi,starlette==0.19.1
FastApi,"pydantic >=1.6.2,!=1.7,!=1.7.1,!=1.7.2,!=1.7.3,!=1.8,!=1.8.1,<2.0.0"
FastApi,"requests >=2.24.0,<3.0.0 "
FastApi,"jinja2 >=2.11.2,<4.0.0 "
FastApi,"python-multipart >=0.0.5,<0.0.6"
FastApi,"itsdangerous >=1.1.0,<3.0.0 "
FastApi,"pyyaml >=5.3.1,<7.0.0 "
FastApi,"ujson >=4.0.1,!=4.0.2,!=4.1.0,!=4.2.0,!=4.3.0,!=5.0.0,!=5.1.0,<6.0.0"
FastApi,"orjson >=3.2.1,<4.0.0 "
FastApi,"email_validator >=1.1.1,<2.0.0 "
FastApi,"uvicorn[standard] >=0.12.0,<0.18.0 "
FastApi,"python-jose[cryptography] >=3.3.0,<4.0.0 "
FastApi,"passlib[bcrypt] >=1.7.2,<2.0.0 "
FastApi,"autoflake >=1.4.0,<2.0.0 "
FastApi,"flake8 >=3.8.3,<6.0.0 "
FastApi,"uvicorn[standard] >=0.12.0,<0.18.0"
FastApi,"pre-commit >=2.17.0,<3.0.0 "
FastApi,"mkdocs >=1.1.2,<2.0.0 "
FastApi,"mkdocs-material >=8.1.4,<9.0.0 "
FastApi,"mdx-include >=1.4.1,<2.0.0 "
FastApi,"mkdocs-markdownextradata-plugin >=0.1.7,<0.3.0 "
FastApi,"typer >=0.4.1,<0.5.0 "
FastApi,"pyyaml >=5.3.1,<7.0.0 "
FastApi,"pytest >=6.2.4,<7.0.0 "
FastApi,"pytest-cov >=2.12.0,<4.0.0"
FastApi,mypy ==0.910 
FastApi,"flake8 >=3.8.3,<6.0.0 "
FastApi,black == 22.3.0 
FastApi,"isort >=5.0.6,<6.0.0 "
FastApi,"requests >=2.24.0,<3.0.0 "
FastApi,"httpx >=0.14.0,<0.19.0 "
FastApi,"email_validator >=1.1.1,<2.0.0 "
FastApi,"sqlalchemy >=1.3.18,<1.5.0"
FastApi,"peewee >=3.13.3,<4.0.0 "
FastApi,"databases[sqlite] >=0.3.2,<0.6.0 "
FastApi,"orjson >=3.2.1,<4.0.0 "
FastApi,"ujson >=4.0.1,!=4.0.2,!=4.1.0,!=4.2.0,!=4.3.0,!=5.0.0,!=5.1.0,<6.0.0 "
FastApi,"python-multipart >=0.0.5,<0.0.6 "
FastApi,"flask >=1.1.2,<3.0.0 "
FastApi,"anyio[trio] >=3.2.1,<4.0.0"
FastApi,types-ujson ==4.2.1
FastApi,types-orjson ==3.6.2 
FastApi,types-dataclasses ==0.6.5 
Requests,"charset-normalizer (<3,>=2)"
Requests,"idna (<4,>=2.5)"
Requests,"urllib3 (<1.27,>=1.21.1)"
Requests,certifi (>=2017.4.17)
Requests,"PySocks (!=1.5.7,>=1.5.6)"
Requests,"chardet (<6,>=3.0.2) "
TenserFlow,absl-py (>=1.0.0)
TenserFlow,astunparse (>=1.6.0)
TenserFlow,flatbuffers (>=2.0)
TenserFlow,"gast (<=0.4.0,>=0.2.1)"
TenserFlow,google-pasta (>=0.1.1)
TenserFlow,h5py (>=2.9.0)
TenserFlow,keras-preprocessing (>=1.1.1)
TenserFlow,libclang (>=13.0.0)
TenserFlow,numpy (>=1.20)
TenserFlow,opt-einsum (>=2.3.2)
TenserFlow,packaging
TenserFlow,"protobuf (<3.20,>=3.9.2)"
TenserFlow,setuptools
TenserFlow,six (>=1.12.0)
TenserFlow,termcolor (>=1.1.0)
TenserFlow,typing-extensions (>=3.6.6)
TenserFlow,wrapt (>=1.11.0)
TenserFlow,tensorflow-io-gcs-filesystem (>=0.23.1)
TenserFlow,"grpcio (<2.0,>=1.24.3)"
TenserFlow,"tensorboard (<2.11,>=2.10)"
TenserFlow,"tensorflow-estimator (<2.11,>=2.10.0)"
TenserFlow,"""keras (<2.11,>=2.10.0)"""